start_point,end_point,cost,path_nodes
10033394683,1944588188,620.0319332906886,10033394683 10033394714 4712548032 10033394679 795912805 9235768189 4566600463 4566600464 315751879 4566600465 4566600466 1319143427 10697564344 250846428 250850901 9214360739 9214245784 250850900 1332652137 9198323969 9214360719 250850891 9198323959 250850878 250850877 5091321224 250850869 1324159545 2025194837 1786620407 9197128342 1786620410 250850866 9190434989 250850868 315614392 2025194861 1944588188
10033394683,2012502036,494.03931405008,10033394683 10033394714 4712548032 10033394679 795912805 250857465 315751883 1317712532 2012502031 250846434 250846426 9182823772 2485362621 250850884 250850886 4583765028 250850885 9198323958 9183225523 250850879 9181224715 250850863 4583765030 250850834 315614412 2012502036
10033394683,2021402068,721.2921168189399,10033394683 10033394677 10033394695 10033394710 10033394696 10033394709 10033394697 10033394712 10033394682 4712487701 10033394681 250846393 10033394680 6070909074 1343143735 6070909075 250846392 1343143768 6070909076 6070909072 6070909077 144808546 6152233512 1787125741 5274107695 5274107696 5274107697 6152233513 5597253909 5597253910 5597253908 5088336637 5088336638 9235768198 5088336636 5088336635 5088336634 5088336632 321611404 250846399 319792816 315878456 9235768200 250851359 10043269823 9235768199 5304539316 2030176496 4771200651 5538681506 315880465 1935533195 5934193643 2021402208 2021402209 2021402206 2021402204 4515988729 3931675695 5867494306 5867494305 2021402171 2021402169 2021402066 2021402068
10033394683,2021402181,642.3086315974529,10033394683 10033394677 10033394695 10033394710 10033394696 10033394709 10033394697 10033394712 10033394682 4712487701 10033394681 250846393 10033394680 6070909074 1343143735 6070909075 250846392 1343143768 6070909076 6070909072 6070909077 144808546 6152233512 1787125741 5274107695 5274107696 5274107697 6152233513 5597253909 5597253910 5597253908 5088336637 5088336638 9235768198 5088336636 5088336635 5088336634 5088336632 321611404 250846399 319792816 315878456 9235768200 250851359 250851360 4837339477 2012557593 1945691561 4771200728 123627968 2021402211 2023217052 4515988730 3925747128 5867558651 2021402183 2021402181
10033394683,2021402211,569.1746640696633,10033394683 10033394677 10033394695 10033394710 10033394696 10033394709 10033394697 10033394712 10033394682 4712487701 10033394681 250846393 10033394680 6070909074 1343143735 6070909075 250846392 1343143768 6070909076 6070909072 6070909077 144808546 6152233512 1787125741 5274107695 5274107696 5274107697 6152233513 5597253909 5597253910 5597253908 5088336637 5088336638 9235768198 5088336636 5088336635 5088336634 5088336632 321611404 250846399 319792816 315878456 9235768200 250851359 250851360 4837339477 2012557593 1945691561 4771200728 123627968 2021402211
10033394683,2021886507,730.5003828203639,10033394683 10033394714 4712548032 10033394679 250857470 5260701924 5260701926 250857466 6082860448 250846418 9221534513 9221534504 9221534505 9221534510 9221534508 9221534509 318903514 1431186172 5091321227 1431186174 5091321241 10556615839 5091321240 250848881 1256903862 250848835 4487496775 4487496782 4487496783 4487496784 4487496777 318900879 369945850 250848834 4760521098 1352906299 4760521099 1352906301 4681722774 250857477 6143097044 2023580434 2021886502 2021886505 2021886507
10033394683,2025439723,586.7584996249456,10033394683 10033394714 4712548032 10033394679 250857470 5260701924 5260701926 250857466 6082860448 250846418 9221534513 9221534504 9221534505 9221534510 315580142 315580353 315580355 9221534511 9221536418 6142240740 6142240739 1787128946 250848880 2023580404 250848836 318900878 250848833 6098627365 2025439723
10033394683,2028085152,878.646999519602,10033394683 10033394677 10033394695 10033394710 10033394696 10033394709 10033394697 10033394712 10033394682 4712487701 10033394681 250846393 10033394680 6070909074 1343143735 6070909075 250846392 1343143768 6070909076 6070909072 6070909077 144808546 6152233512 1787125741 5274107695 5274107696 5274107697 6152233513 5597253909 5597253910 5597253908 5088336637 5088336638 9235768198 5088336636 5088336635 5088336634 5088336632 321611404 250846399 319792816 315878456 9235768200 250851359 250851360 4837339477 2012557593 1945691561 4771200728 123627968 2021402216 2023217054 4515988732 3925747129 2021402192 2023217050 1954716619 1952803737 1952803735 2026739973 2026739970 4515988725 1942500934 1942500932 2028085155 2028085152
10033394683,250846405,300.6789961377234,10033394683 10033394677 10033394695 10033394710 10033394696 10033394709 10033394697 10033394712 10033394682 4712487701 10033394681 4535407020 6070909073 1343143689 250850856 6070562223 6070562208 250850855 144808538 250846405
10033394683,250854455,701.8119795744055,10033394683 10033394714 4712548032 10033394679 250857470 5260701924 5260701926 250857466 6082860448 250846418 9221534513 9221534504 9221534505 9221534510 315580142 315580353 315580355 9221534511 9221536418 6142240740 315580136 6142240744 250848872 6142240741 250848871 10691302696 10691302695 250848870 250848869 10691302688 1387141903 250848868 2025439713 250848867 250848866 250848853 5287162926 250854455
